centre_id	centre_id_2	centre_ref	group	family	species	common	sex	age	dd	mm	yy	type	cause	fate	lat	long	buff_rad	prop_urban
gower	NA	g495	owl	Strigidae	Strix aluco	tawny owl	NA	juv	25	11	2007	human	veh	r	51.611608	-3.5856699	1000	20.1433121
gower	NA	g496	raptor	Accipitridae	Buteo buteo	buzzard	m	juv	26	11	2007	unknown	trauma	d	51.508651	-3.5518307	1000	80.6727707
gower	NA	g497	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	29	11	2007	human	veh	r	51.951603	-4.1462597	1000	4.498407643
gower	NA	g499	raptor	Falconidae	Falco tinnunculus	common kestrel	m	juv	9	12	2007	natural	metab	d	51.792502	-3.9893308	1000	66.56050955
gower	NA	g5	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	4	3	2001	unknown	trauma	d	52.041135	-4.3094931	1000	19.82484076
gower	NA	g50	owl	Strigidae	Strix aluco	tawny owl	NA	ad	12	9	2001	human	veh	r	51.845994	-4.30965	1000	44.0883758
gower	NA	g500	raptor	Accipitridae	Buteo buteo	buzzard	f	ad	12	12	2007	human	veh	d	52.000604	-4.2666119	1000	15.34633758
gower	NA	g501	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	27	12	2007	unknown	trauma	d	51.860172	-4.1302852	1000	1.592356688
gower	NA	g502	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	27	12	2007	unknown	undet	d	51.745327	-4.0654823	1000	3.284235669
gower	NA	g503	owl	Strigidae	Strix aluco	tawny owl	NA	juv	29	12	2007	human	pers	r	51.766105	-3.7852743	1000	43.84952229
gower	NA	g504	owl	Tytonidae	Tyto alba	barn owl	f	juv	6	1	2008	human	pers	d	51.47867	-3.7034604	1000	64.35768262
gower	NA	g505	owl	Strigidae	Strix aluco	tawny owl	NA	juv	7	1	2008	human	build	r	51.504107	-3.1684138	1000	88.47531847
gower	NA	g506	raptor	Accipitridae	Accipiter gentilis	goshawk	m	juv	8	1	2008	human	elec	d	51.766105	-3.7852743	1000	43.84952229
gower	NA	g507	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	21	1	2008	unknown	undet	r	51.794412	-4.0865778	1000	44.98407643
gower	NA	g508	raptor	Accipitridae	Buteo buteo	buzzard	f	ad	23	1	2008	unknown	trauma	d	52.148895	-3.4059172	1000	30.3343949
gower	NA	g509	raptor	Accipitridae	Buteo buteo	buzzard	f	ad	26	1	2008	unknown	trauma	d	51.484805	-0.97888246	1000	51.85111465
gower	NA	g51	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	13	9	2001	unknown	trauma	d	52.041135	-4.3094931	1000	19.82484076
gower	NA	g511	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	18	2	2008	human	veh	d	51.642099	-4.1055916	1000	23.64649682
gower	NA	g512	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	22	2	2008	unknown	trauma	d	51.78561	-3.8034428	1000	9.454617834
gower	NA	g513	owl	Tytonidae	Tyto alba	barn owl	f	juv	27	2	2008	human	veh	r	52.119704	-3.0077181	1000	1.492834395
gower	NA	g514	raptor	Accipitridae	Buteo buteo	buzzard	m	juv	1	3	2008	human	veh	d	51.882357	-3.9932966	1000	25.67675159
gower	NA	g515	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	17	3	2008	unknown	undet	d	51.630683	-3.8204085	1000	50.77627389
gower	NA	g516	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	19	3	2008	unknown	trauma	d	51.662404	-3.8043288	1000	80.45382166
gower	NA	g517	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	25	3	2008	unknown	trauma	d	51.507008	-3.6713749	1000	4.518312102
gower	NA	g518	raptor	Accipitridae	Buteo buteo	buzzard	m	juv	26	3	2008	unknown	undet	r	51.571136	-4.050359	1000	21.91023657
